,Ticker,MAS,MAL,result
1,ETH,8,60,17473
154,LUNA,15,58,1834
0,BTC,6,51,1830
33,LINK,6,41,747
34,ENJ,3,40,631
38,TMTG,2,30,547
35,VET,2,60,538
36,MTL,13,30,464
24,SNT,6,30,342
29,THETA,16,50,332
149,BTT,10,30,318
31,WAVES,8,33,279
94,SAND,4,45,272
25,ADA,10,46,269
16,WAXP,16,43,261
18,LRC,16,36,242
47,ANKR,3,56,234
163,WEMIX,8,36,233
17,POWR,2,40,227
6,QTUM,3,30,218
2,LTC,3,38,209
5,BCH,2,35,204
4,XRP,2,30,194
3,ETC,3,34,191
146,BCD,4,32,168
51,CHR,2,42,155
53,MXC,4,44,153
21,ZRX,2,33,131
7,BTG,6,31,112
23,XEM,4,35,109
64,APIX,7,49,105
99,ORC,3,30,101
43,ORBS,2,46,99
12,OMG,3,32,98
27,BAT,4,41,86
9,ICX,8,40,84
37,IOST,9,44,82
72,BORA,7,60,80
15,ZIL,16,45,74
98,OBSR,14,42,67
49,CRO,5,51,62
73,ARPA,2,58,61
41,AMO,6,31,61
68,XPR,6,58,60
52,MBL,5,30,60
54,FCT,5,42,59
13,KNC,3,30,58
22,REP,3,30,52
42,BSV,7,30,49
28,WTC,6,34,48
10,TRX,5,31,48
65,EL,7,30,45
39,QKC,10,52,43
60,BOA,2,59,42
57,WOM,7,57,40
50,FX,15,39,39
14,GLM,4,33,37
147,XLM,2,30,37
40,HDAC,6,30,37
156,META,16,47,36
79,EVZ,5,58,33
164,DOT,2,43,31
46,CON,15,37,31
162,MLK,15,35,27
11,ELF,3,32,27
167,TEMCO,13,42,26
82,QTCON,16,37,23
104,GHX,10,44,23
55,TRV,5,49,22
61,FLETA,5,32,21
45,VALOR,16,60,20
81,SRM,10,53,19
67,HIVE,4,50,19
155,AION,2,31,19
96,RINGX,2,54,19
165,ATOM,10,42,18
62,SXP,3,60,18
83,UNI,5,42,17
148,GXC,8,30,16
19,STEEM,5,31,16
30,LOOM,4,31,15
58,SOC,3,35,15
66,BASIC,2,32,15
113,XNO,10,51,15
158,ONG,10,33,14
102,ADP,5,30,14
153,ONT,5,31,13
151,IPX,16,30,13
128,ASM,13,51,13
130,CELR,7,44,13
136,BFC,16,59,13
69,VRA,4,33,13
48,MIX,6,60,12
176,XEC,6,60,12
71,EGG,7,57,12
63,COS,4,57,11
160,JST,8,30,11
78,CENNZ,7,49,11
20,STRAX,2,37,10
117,NU,2,39,10
124,MANA,6,36,10
70,FIT,3,32,10
80,CYCLUB,10,32,10
103,DVI,16,58,9
122,WIKEN,2,42,9
120,MAP,7,59,9
74,APM,7,32,9
115,RAI,16,60,9
166,SSX,5,30,9
32,TRUE,4,42,9
169,BURGER,2,30,8
112,BIOT,12,33,8
8,EOS,5,30,8
131,LF,2,48,8
159,ALGO,2,48,8
161,XTZ,16,35,8
133,MSB,9,58,7
97,BEL,7,53,7
105,MIR,10,51,7
100,POLA,8,32,7
168,HIBS,11,57,6
152,WICC,16,49,6
26,CTXC,16,48,6
150,VSYS,15,43,6
116,COLA,6,51,6
93,UOS,16,49,6
173,XYM,12,37,6
111,MM,2,56,6
157,KLAY,10,34,6
101,AWO,4,58,6
